control,control_index,method,model_pairs,mean_pair_spearman,median_pair_spearman,minimum_pair_spearman,maximum_pair_spearman
permuted_map,37,gradient_shap,435,0.8051249042145591,0.8026666666666665,0.6989999999999997,0.9691666666666665
permuted_map,38,integrated_gradients,435,0.7493129058277876,0.7391315789473683,0.6335877192982455,0.9598333333333331
permuted_map,38,gradient_shap,435,0.8330793103448273,0.8296666666666664,0.7149999999999999,0.965
permuted_map,39,integrated_gradients,435,0.7129715870135106,0.7025263157894734,0.5668508771929823,0.957912280701754
permuted_map,39,gradient_shap,435,0.8219478927203064,0.8168333333333332,0.7198333333333331,0.9648333333333331
permuted_map,40,integrated_gradients,435,0.6840409961685822,0.6699999999999998,0.5465,0.9609999999999999
permuted_map,40,gradient_shap,435,0.8016494252873562,0.7974999999999998,0.693,0.9688333333333332
permuted_map,41,integrated_gradients,435,0.7083985077636619,0.6929122807017543,0.6010438596491227,0.962298245614035
permuted_map,41,gradient_shap,435,0.8107482758620689,0.8038333333333331,0.7129999999999999,0.9654999999999999
permuted_map,42,integrated_gradients,435,0.7153256704980842,0.7054999999999997,0.5654999999999999,0.965333333333333
permuted_map,42,gradient_shap,435,0.8236708812260535,0.8243333333333331,0.7023333333333333,0.9691666666666665
permuted_map,43,integrated_gradients,435,0.7327363984674329,0.7243333333333332,0.6133333333333332,0.9643333333333332
permuted_map,43,gradient_shap,435,0.813622988505747,0.8086666666666665,0.7123333333333332,0.9693333333333332
permuted_map,44,integrated_gradients,435,0.7321869731800764,0.7213333333333333,0.6098333333333332,0.9663333333333333
permuted_map,44,gradient_shap,435,0.810862068965517,0.8074999999999998,0.7063333333333331,0.9661666666666665
permuted_map,45,integrated_gradients,435,0.7138019308328291,0.7024429824561402,0.5598728070175437,0.9639473684210524
permuted_map,45,gradient_shap,435,0.7990969348659002,0.7959999999999998,0.6659999999999998,0.961833333333333
permuted_map,46,integrated_gradients,435,0.7463501915708811,0.7381666666666664,0.6306666666666665,0.9675
permuted_map,46,gradient_shap,435,0.8056559386973179,0.8004999999999999,0.6939999999999998,0.9634999999999998
permuted_map,47,integrated_gradients,435,0.6736187134502922,0.6588596491228069,0.5253070175438596,0.960657894736842
permuted_map,47,gradient_shap,435,0.7830819923371647,0.7793333333333331,0.6664999999999999,0.9651666666666665
permuted_map,48,integrated_gradients,435,0.7155484775156279,0.7053771929824559,0.5921666666666665,0.963157894736842
permuted_map,48,gradient_shap,435,0.8222605363984673,0.8166666666666664,0.7263333333333333,0.9673333333333332
permuted_map,49,integrated_gradients,435,0.7094429118773944,0.6963333333333331,0.5711666666666666,0.9659999999999999
permuted_map,49,gradient_shap,435,0.7794206896551722,0.7723333333333332,0.6436666666666665,0.9736666666666663
permuted_map,50,integrated_gradients,435,0.7361191570881225,0.7251666666666665,0.6186666666666666,0.9663333333333333
permuted_map,50,gradient_shap,435,0.8113885057471263,0.8091666666666665,0.6944999999999998,0.967833333333333
permuted_map,51,integrated_gradients,435,0.7359087315991126,0.7235263157894735,0.6244999999999998,0.9643245614035085
permuted_map,51,gradient_shap,435,0.8015122605363981,0.7951666666666665,0.7039999999999997,0.9681666666666664
permuted_map,52,integrated_gradients,435,0.6873971163541034,0.6749649122807017,0.5320087719298245,0.9598333333333331
permuted_map,52,gradient_shap,435,0.7689490421455937,0.7623333333333332,0.6291666666666664,0.9621666666666664
permuted_map,53,integrated_gradients,435,0.7390904214559386,0.7293333333333332,0.6188333333333331,0.9643333333333332
permuted_map,53,gradient_shap,435,0.813126436781609,0.8109999999999997,0.7058333333333331,0.9738333333333332
permuted_map,54,integrated_gradients,435,0.6960524904214557,0.6848333333333332,0.5773333333333333,0.9609999999999999
permuted_map,54,gradient_shap,435,0.7771911877394634,0.7758333333333332,0.6331666666666664,0.9663333333333333
permuted_map,55,integrated_gradients,435,0.7215524904214558,0.7089999999999997,0.6098333333333331,0.9609999999999999
permuted_map,55,gradient_shap,435,0.830994252873563,0.8271666666666665,0.7183333333333332,0.9723333333333332
permuted_map,56,integrated_gradients,435,0.7144049808429117,0.7021666666666665,0.6024999999999998,0.9589999999999997
permuted_map,56,gradient_shap,435,0.8034777777777775,0.7996666666666665,0.6848333333333332,0.9634999999999998
permuted_map,57,integrated_gradients,435,0.63921877394636,0.6281666666666665,0.42883333333333323,0.9566666666666664
permuted_map,57,gradient_shap,435,0.7515812260536396,0.7461666666666664,0.6166666666666666,0.9534999999999999
permuted_map,58,integrated_gradients,435,0.7191904214559385,0.7136666666666666,0.6073333333333332,0.9666666666666665
permuted_map,58,gradient_shap,435,0.8079662835249041,0.8058333333333332,0.6956666666666664,0.9614999999999998
permuted_map,59,integrated_gradients,435,0.7066995563621695,0.6944035087719297,0.5661140350877192,0.9636052631578945
permuted_map,59,gradient_shap,435,0.806225670498084,0.8008333333333333,0.7156666666666666,0.9658333333333331
